Student ID	Name	Faculty	Advisor's Name	Email	Phone Number	Date of Birth	Gender	Address	Semesters	Scholarship Amount	Clubs Attending	Password	Nationality	Advisor's ID
12210002	Islom	ISE	Kabir	Jwoc{wp	islom46@inha.edu	1048007292	2	0020325	0	0				
12210003	Kobayashi	Riku	KLC	\rrq	Seoyeon	riku21@inha.edu	1	014013372	20050713	0				
12210004	Park	Hyunjin	IBT	Pii	Seoyeon	hyunjin35@inha.edu	1	034849507	19981002	0				
12210005	Kang	Seoyeon	IBT	Qjj	Seoyeon	seoyeon42@inha.edu	1	036986815	19980310	0				
12210006	Aizada	Nurlan	KLC	_uut	Seoyeon	nurlan13@inha.edu	1	027649447	20000827	0				
12210007	Gulnoza	ISE	Kabir	O|th!|u	gulnoza55@inha.edu	1044386596	1	9950209	0	0				
12210008	Dilnoza	ISE	Kabir	P}ui"}v	dilnoza11@inha.edu	1072512204	2	0050901	0	0				
12210009	Park	Hyunjin	IBT	Unn	Seoyeon	hyunjin25@inha.edu	1	012447493	20040406	0				
12210010	Sarvar	ISE	Kabir	Ivnbzvo	sarvar37@inha.edu	1063567293	1	9960917	0	0				
12210011	Dilnoza	ISE	Kabir	Humayun	dilnoza23@inha.edu	1049438254	2	0030420	0	0				
12210012	Tanaka	Haruka	KLC	Zppo	Seoyeon	haruka76@inha.edu	1	051658318	20040120	0				
12210013	Dilnoza	ISE	Kabir	Jwoc{wp	dilnoza92@inha.edu	1087486713	2	0010609	0	0				
12210014	Kang	Seoyeon	IBT	Ohh	Seoyeon	seoyeon22@inha.edu	1	068586782	20051221	0				
12210015	Jahongir	ISE	Kabir	Lyqe}yr	jahongir14@inha.edu	1094183024	2	0050217	0	0				
12210016	Park	Hyunjin	IBT	Qjj	Seoyeon	hyunjin59@inha.edu	1	035068056	20051225	0				
12210017	Meerim	Zhumagul	KLC	_uut	Seoyeon	zhumagul92@inha.edu	1	038051026	19950419	0				
12210018	Jung	Donghyun	IBT	Sll	Seoyeon	donghyun72@inha.edu	1	093147708	19951220	0				
12210019	Shohjahon	ISE	Kabir	P}ui"}v	shohjahon92@inha.edu	1097535576	2	0040606	0	0				
12210020	Lee	Jisoo	IBT	Ngg	Seoyeon	jisoo98@inha.edu	1	053854932	20050809	0				
12210021	Park	Hyunjin	IBT	Mff	Seoyeon	hyunjin39@inha.edu	1	050825640	19990721	0				
12210022	Gulnoza	ISE	Kabir	Humayun	gulnoza44@inha.edu	1017851642	2	0040623	0	0				
12210023	Malika	ISE	Kabir	Ivnbzvo	malika5@inha.edu	1083832198	2	0001119	0	0				
12210024	Gulnoza	ISE	Kabir	Jwoc{wp	gulnoza51@inha.edu	1087068442	2	0030422	0	0				
12210025	Gulnoza	ISE	Kabir	Kxpd|xq	gulnoza7@inha.edu	1024448607	1	9970722	0	0				
12210026	Kobayashi	Riku	KLC	]ssr	Seoyeon	riku39@inha.edu	1	067848979	20050310	0				
12210027	Choi	Soojin	IBT	Qjj	Seoyeon	soojin53@inha.edu	1	059348303	19971107	0				
12210028	Islom	ISE	Kabir	N{sg	{t	islom54@inha.edu	1	069174759	2	20718	0	0		
12210029	Min	Win	KLC	`vvu	Seoyeon	win46@inha.edu	1	091499390	20050828	0				
12210030	Park	Hyunjin	IBT	Ohh	Seoyeon	hyunjin11@inha.edu	1	054561122	19960511	0				
12210031	Gulnoza	ISE	Kabir	Jwoc{wp	gulnoza67@inha.edu	1037605444	2	0000815	0	0				
12210032	Madina	ISE	Kabir	Ivnbzvo	madina15@inha.edu	1048871595	1	9950304	0	0				
12210033	Shohjahon	ISE	Kabir	Humayun	shohjahon25@inha.edu	1050996476	2	0040918	0	0				
12210034	Jahongir	ISE	Kabir	Ivnbzvo	jahongir19@inha.edu	1086674617	2	0010327	0	0				
12210035	Park	Hyunjin	IBT	Ngg	Seoyeon	hyunjin17@inha.edu	1	090654706	19980107	0				
12210036	Azizbek	ISE	Kabir	Kxpd|xq	azizbek33@inha.edu	1099544499	2	0011010	0	0				
12210037	Dilnoza	ISE	Kabir	Lyqe}yr	dilnoza94@inha.edu	1017016929	2	0000418	0	0				
12210038	Jahongir	ISE	Kabir	Mzrf~zs	jahongir46@inha.edu	1021786085	2	0000605	0	0				
12210039	Malika	ISE	Kabir	N{sg	{t	malika86@inha.edu	1	065547144	1	9960317	0	0		
12210040	Ziyoda	ISE	Kabir	Lyqe}yr	ziyoda63@inha.edu	1071606504	1	9991113	0	0				
12210041	Azizbek	ISE	Kabir	Kxpd|xq	azizbek44@inha.edu	1083777685	2	0011101	0	0				
12210042	Azizbek	ISE	Kabir	Jwoc{wp	azizbek17@inha.edu	1045141027	1	9990627	0	0				
12210043	Jung	Donghyun	IBT	Mff	Seoyeon	donghyun24@inha.edu	1	095789666	20040409	0				
12210044	Aung	Kyaw	KLC	Yoon	Seoyeon	kyaw28@inha.edu	1	028386898	20040822	0				
12210045	Kang	Seoyeon	IBT	Mff	Seoyeon	seoyeon44@inha.edu	1	062326391	19970916	0				
12210046	Gulnoza	ISE	Kabir	Jwoc{wp	gulnoza65@inha.edu	1035554141	1	9980103	0	0				
12210047	Jung	Donghyun	IBT	Ohh	Seoyeon	donghyun93@inha.edu	1	056815824	20000417	0				
12210048	Madina	ISE	Kabir	Lyqe}yr	madina80@inha.edu	1081365222	1	9980213	0	0				
12210049	Min	Win	KLC	^tts	Seoyeon	win63@inha.edu	1	024046871	19990308	0				
12210050	Malika	ISE	Kabir	Mzrf~zs	malika80@inha.edu	1095015429	1	9951122	0	0				
12210051	Kang	Seoyeon	IBT	Pii	Seoyeon	seoyeon77@inha.edu	1	042507950	20010618	0				
12210052	Aung	Kyaw	KLC	\rrq	Seoyeon	kyaw87@inha.edu	1	036102923	20000416	0				
12210053	Dilnoza	ISE	Kabir	Jwoc{wp	dilnoza71@inha.edu	1076985141	1	9971126	0	0				
12210054	Jahongir	ISE	Kabir	Ivnbzvo	jahongir85@inha.edu	1055256782	1	9991126	0	0				
12210055	Kim	Minho	IBT	Lee	Seoyeon	minho38@inha.edu	1	056052669	20010313	0				
12210056	Dilnoza	ISE	Kabir	Ivnbzvo	dilnoza8@inha.edu	1063393381	1	9960823	0	0				
12210057	Yamada	Taro	KLC	[qqp	Seoyeon	taro53@inha.edu	1	042563397	20040722	0				
12210058	Ziyoda	ISE	Kabir	Kxpd|xq	ziyoda87@inha.edu	1068782162	1	9980713	0	0				
12210059	Lee	Jisoo	IBT	Pii	Seoyeon	jisoo89@inha.edu	1	081684792	19961207	0				
12210060	Yamada	Taro	KLC	_uut	Seoyeon	taro59@inha.edu	1	042957691	20011123	0				
12210061	Shohjahon	ISE	Kabir	Mzrf~zs	shohjahon33@inha.edu	1074489314	1	9951209	0	0				
12210062	Thuzar	Hnin	KLC	]ssr	Seoyeon	hnin11@inha.edu	1	048379015	19960928	0				
12210063	Shohjahon	ISE	Serrao	Suxwkyl	Loy	Rozario	s	hohjahon33@inha.edu	1054806566	20040317	M	4	JungangRo,	NamdongGu,
12210064	Lee	Jisoo	IBT	Ngg	Seoyeon	jisoo29@inha.edu	1	059133800	20030425	0				
12210065	Park	Hyunjin	IBT	Mff	Seoyeon	hyunjin22@inha.edu	1	025551149	19991202	0				
12210066	Jahongir	ISE	Serrao	Pruthvi	Loy	Rozario	j	ahongir72@inha.edu	1081866403	20040505	M	56	OndangRo,	BupyeongGu,
12210067	Jung	Donghyun	IBT	Mff	Seoyeon	donghyun75@inha.edu	1	055161410	20050413	0				
12210068	Islom	ISE	Serrao	Rtwvjxk	Loy	Rozario	i	slom47@inha.edu	1012228330	20051103	M	73	CheongunRo,	SeoGu,
12210069	Meerim	Zhumagul	KLC	\rrq	Seoyeon	zhumagul10@inha.edu	1	011374948	19950224	0				
12210070	Park	Hyunjin	IBT	Sll	Seoyeon	hyunjin50@inha.edu	1	010483847	20010711	0				
12210071	Shohjahon	ISE	Serrao	Vx{zn|o	Loy	Rozario	s	hohjahon94@inha.edu	1079942818	20011009	M	31	JungangRo,	NamdongGu,
12210072	Dilnoza	ISE	Serrao	Uwzym{n	Loy	Rozario	d	ilnoza56@inha.edu	1068139609	20010201	F	12	OndangRo,	GyeyangGu,
12210073	Aizada	Nurlan	KLC	]ssr	Seoyeon	nurlan18@inha.edu	1	087682187	20021206	0				
12210074	Jung	Donghyun	IBT	Ohh	Seoyeon	donghyun78@inha.edu	1	036452096	20050626	0				
12210075	Jung	Donghyun	IBT	Ngg	Seoyeon	donghyun48@inha.edu	1	010681112	19970327	0				
12210076	Shohjahon	ISE	Serrao	Qsvuiwj	Loy	Rozario	s	hohjahon37@inha.edu	1083827222	20030722	M	40	OndangRo,	GyeyangGu,
12210077	Kim	Minho	IBT	Lee	Seoyeon	minho12@inha.edu	1	030586493	20001126	0				
12210078	Kim	Minho	IBT	Mff	Seoyeon	minho4@inha.edu	1	091318837	19980612	0				
12210079	Ziyoda	ISE	Serrao	Rtwvjxk	Loy	Rozario	z	iyoda7@inha.edu	1068406300	20051005	F	72	GeumgangRo,	YeonsuGu,
12210080	Jung	Donghyun	IBT	Tmm	Seoyeon	donghyun23@inha.edu	1	073706592	20000716	0				
12210081	Kim	Minho	IBT	Sll	Seoyeon	minho35@inha.edu	1	063923396	20021122	0				
12210082	Kang	Seoyeon	IBT	Rkk	Seoyeon	seoyeon87@inha.edu	1	029738899	19981219	0				
12210083	Kang	Seoyeon	IBT	Qjj	Seoyeon	seoyeon95@inha.edu	1	088333865	20010721	0				
12210084	Kang	Seoyeon	IBT	Pii	Seoyeon	seoyeon45@inha.edu	1	011488678	20000618	0				
12210085	Azizbek	ISE	Serrao	Suxwkyl	Loy	Rozario	a	zizbek90@inha.edu	1071351661	19960212	M	63	MyeongdongRo,	NamdongGu,
12210086	Lee	Jisoo	IBT	Ngg	Seoyeon	jisoo37@inha.edu	1	043917447	20020623	0				
12210087	Kim	Minho	IBT	Mff	Seoyeon	minho60@inha.edu	1	083702728	19960524	0				
12210088	Madina	ISE	Serrao	Pruthvi	Loy	Rozario	m	adina67@inha.edu	1061565307	20041014	F	72	JungangRo,	GyeyangGu,
12210089	Gulnoza	ISE	Serrao	Qsvuiwj	Loy	Rozario	g	ulnoza16@inha.edu	1051223039	19980903	F	17	MyeongdongRo,	YeonsuGu,
12210090	Park	Hyunjin	IBT	Unn	Seoyeon	hyunjin96@inha.edu	1	061165650	19951202	0				
12210091	Azizbek	ISE	Serrao	Xz}|p~q	Loy	Rozario	a	zizbek52@inha.edu	1067744733	20030420	M	24	JungangRo,	SeoGu,
12210092	Jahongir	ISE	Serrao	Wy|{o}p	Loy	Rozario	j	ahongir94@inha.edu	1090935544	19991217	M	58	CheongunRo,	GyeyangGu,
12210093	Aibek	Temir	KLC	_uut	Seoyeon	temir17@inha.edu	1	090795551	20030808	0				
12210094	Kang	Seoyeon	IBT	Qjj	Seoyeon	seoyeon54@inha.edu	1	047925121	20011009	0				
12210095	Sarvar	ISE	Serrao	Tvyxlzm	Loy	Rozario	s	arvar17@inha.edu	1043834362	20051020	M	33	CheongunRo,	GyeyangGu,
12210096	Gulnoza	ISE	Serrao	Suxwkyl	Loy	Rozario	g	ulnoza90@inha.edu	1042329865	20040521	F	72	JungangRo,	YeonsuGu,
12210097	Jung	Donghyun	IBT	Ejqk	Eunji	donghyun56@inha.edu	1	059106779	19950704	0				
12210098	Adi	Putri	KLC	Zppo	Seoyeon	putri60@inha.edu	1	083965556	20000702	0				
12210099	Azizbek	ISE	Serrao	Pruthvi	Loy	Rozario	a	zizbek88@inha.edu	1064616552	19990312	M	31	JungangRo,	BupyeongGu,
12210100	Dilnoza	ISE	Serrao	Pruthvi	Loy	Rozario	d	ilnoza73@inha.edu	1037521940	20020726	F	54	CheongunRo,	NamdongGu,
12210101	Dilnoza	ISE	Serrao	Qsvuiwj	Loy	Rozario	d	ilnoza79@inha.edu	1079426517	20000928	F	55	CheongunRo,	YeonsuGu,
12210102	Jung	Donghyun	IBT	Ejqk	Eunji	donghyun39@inha.edu	1	072295861	20050520	0				
12210103	Kim	Minho	IBT	Fkrl	Eunji	minho30@inha.edu	1	079834417	20000406	0				
12210104	Dilnoza	ISE	Serrao	Tvyxlzm	Loy	Rozario	d	ilnoza49@inha.edu	1094012223	20050815	F	43	CheongunRo,	YeonsuGu,
12210105	Ziyoda	ISE	Serrao	Uwzym{n	Loy	Rozario	z	iyoda13@inha.edu	1031655664	19981109	F	24	MyeongdongRo,	BupyeongGu,
12210106	Shohjahon	ISE	Serrao	Vx{zn|o	Loy	Rozario	s	hohjahon79@inha.edu	1083704778	19960327	M	2	OndangRo,	GyeyangGu,
12210107	Kim	Minho	IBT	Jovp	Eunji	minho77@inha.edu	1	085833404	19970520	0				
12210108	Aibek	Temir	KLC	Kpwq	Daehyun	temir10@inha.edu	1	082213787	20040403	0				
12210109	Ziyoda	ISE	Serrao	Y{~}q	r	Loy	R	ozario	0	0				
12210110	Aibek	Temir	KLC	Dipj	Daehyun	temir53@inha.edu	1	043944299	19950703	0				
12210111	Madina	ISE	Serrao	Pruthvi	Loy	Rozario	m	adina43@inha.edu	1016886202	19971112	F	15	MyeongdongRo,	SeoGu,
12210112	Lee	Jisoo	IBT	Dipj	Eunji	jisoo79@inha.edu	1	013075056	19970807	0				
12210113	Thuzar	Hnin	KLC	Ejqk	Daehyun	hnin35@inha.edu	1	050376911	20000420	0				
12210114	Malika	ISE	Serrao	Suxwkyl	Loy	Rozario	m	alika83@inha.edu	1025275218	19980510	F	80	JungangRo,	YeonsuGu,
12210115	Kang	Seoyeon	IBT	Glsm	Eunji	seoyeon58@inha.edu	1	070323803	20000112	0				
12210116	Kim	Minho	IBT	Hmtn	Eunji	minho49@inha.edu	1	043145992	19980614	0				
12210117	Aibek	Temir	KLC	Inuo	Daehyun	temir85@inha.edu	1	057676405	20020719	0				
12210118	Choi	Soojin	IBT	Jovp	Eunji	soojin15@inha.edu	1	025061045	19981102	0				
12210119	Kang	Seoyeon	IBT	Kpwq	Eunji	seoyeon2@inha.edu	1	064348099	19981123	0				
12210120	Park	Hyunjin	IBT	Ejqk	Eunji	hyunjin63@inha.edu	1	056874567	19980719	0				
12210121	Park	Hyunjin	IBT	Dipj	Eunji	hyunjin77@inha.edu	1	015833713	19951007	0				
12210122	Choi	Soojin	IBT	Choi	Eunji	soojin46@inha.edu	1	062694112	20050404	0				
12210123	Adi	Putri	KLC	Dipj	Daehyun	putri5@inha.edu	1	086086887	20020621	0				
12210124	Shohjahon	ISE	Serrao	Rtwvjxk	Loy	Rozario	s	hohjahon1@inha.edu	1071556192	20030214	M	42	MyeongdongRo,	YeonsuGu,
12210125	Shohjahon	ISE	Serrao	Suxwkyl	Loy	Rozario	s	hohjahon82@inha.edu	1098568681	19990419	M	27	OndangRo,	NamdongGu,
12210126	Park	Hyunjin	IBT	Glsm	Eunji	hyunjin46@inha.edu	1	047414043	19950605	0				
12210127	Jung	Donghyun	IBT	Hmtn	Eunji	donghyun70@inha.edu	1	012822339	20000802	0				
12210128	Kim	Minho	IBT	Inuo	Eunji	minho15@inha.edu	1	050848589	20010301	0				
12210129	Jahongir	ISE	Serrao	Wy|{o}p	Loy	Rozario	j	ahongir54@inha.edu	1034784134	20050609	M	55	OndangRo,	BupyeongGu,
12210130	Park	Hyunjin	IBT	Fkrl	Eunji	hyunjin73@inha.edu	1	034269624	20050502	0				
12210131	Malika	ISE	Serrao	Rtwvjxk	Loy	Rozario	m	alika96@inha.edu	1067162363	19970427	F	16	GeumgangRo,	BupyeongGu,
12210132	Park	Hyunjin	IBT	Dipj	Eunji	hyunjin41@inha.edu	1	020703016	20030217	0				
12210133	Gulnoza	ISE	Serrao	Pruthvi	Loy	Rozario	g	ulnoza57@inha.edu	1022035207	19980314	F	30	MyeongdongRo,	BupyeongGu,
12210134	Kim	Minho	IBT	Dipj	Eunji	minho37@inha.edu	1	063336728	20000728	0				
12210000	Islom	ISE	Serrao	Pruthvi	Loy	Rozario	i	slom92@inha.edu	1044031910	19971215	M	68	CheongunRo,	YeonsuGu,
12210001	Jung	Donghyun	IBT	Dipj	Eunji	donghyun82@inha.edu	1	096285749	20001225	0				
12210002	Aizada	Nurlan	KLC	Ejqk	Daehyun	nurlan34@inha.edu	1	030927923	19980808	0				
12210003	Malika	ISE	Serrao	Suxwkyl	Loy	Rozario	m	alika88@inha.edu	1070667273	20010821	F	93	OndangRo,	YeonsuGu,
12210004	Kang	Seoyeon	IBT	Glsm	Eunji	seoyeon85@inha.edu	1	059496601	20031216	0				
12210005	Madina	ISE	Serrao	Uwzym{n	Loy	Rozario	m	adina44@inha.edu	1023838560	19950719	F	96	OndangRo,	BupyeongGu,
12210006	Choi	Soojin	IBT	Inuo	Eunji	soojin67@inha.edu	1	048015610	19960101	0				
12210007	Jung	Donghyun	IBT	Jovp	Eunji	donghyun45@inha.edu	1	042733963	19990307	0				
12210008	Lee	Jisoo	IBT	Kpwq	Eunji	jisoo5@inha.edu	1	062638841	20000827	0				
12210009	Yamada	Taro	KLC	Lqxr	Daehyun	taro26@inha.edu	1	012032495	19960625	0				
12210010	Madina	ISE	Serrao	Qsvuiwj	Loy	Rozario	m	adina85@inha.edu	1032068710	19980515	F	96	GeumgangRo,	YeonsuGu,
12210011	Jahongir	ISE	Serrao	Pruthvi	Loy	Rozario	j	ahongir44@inha.edu	1016205289	19960512	M	31	MyeongdongRo,	GyeyangGu,
12210012	Jung	Donghyun	IBT	Dipj	Eunji	donghyun27@inha.edu	1	011636812	19980322	0				
12210013	Madina	ISE	Serrao	Rtwvjxk	Loy	Rozario	m	adina3@inha.edu	1063744999	20040311	F	97	MyeongdongRo,	BupyeongGu,
12210014	Kang	Seoyeon	IBT	Fkrl	Eunji	seoyeon53@inha.edu	1	029832457	19960220	0				
12210015	Dilnoza	ISE	Serrao	Tvyxlzm	Loy	Rozario	d	ilnoza9@inha.edu	1050567154	19980819	F	76	OndangRo,	YeonsuGu,
12210016	Islom	ISE	Serrao	Uwzym{n	Loy	Rozario	i	slom38@inha.edu	1068554605	20000311	M	14	GeumgangRo,	BupyeongGu,
12210017	Dilnoza	ISE	Serrao	Vx{zn|o	Loy	Rozario	d	ilnoza1@inha.edu	1022954493	19990727	F	36	MyeongdongRo,	BupyeongGu,
12210018	Kim	Minho	IBT	Jovp	Eunji	minho6@inha.edu	1	029838387	20000913	0				
12210019	Shohjahon	ISE	Serrao	Xz}|p~q	Loy	Rozario	s	hohjahon50@inha.edu	1038812509	19960602	M	63	JungangRo,	SeoGu,
12210020	Gulnoza	ISE	Serrao	Rtwvjxk	Loy	Rozario	g	ulnoza74@inha.edu	1010563635	19960404	F	60	MyeongdongRo,	YeonsuGu,
12210021	Madina	ISE	Serrao	Qsvuiwj	Loy	Rozario	m	adina8@inha.edu	1090847738	20041018	F	19	CheongunRo,	YeonsuGu,
12210022	Azizbek	ISE	Serrao	Pruthvi	Loy	Rozario	a	zizbek96@inha.edu	1073879472	19991111	M	91	GeumgangRo,	GyeyangGu,
12210023	Dilnoza	ISE	Serrao	Qsvuiwj	Loy	Rozario	d	ilnoza83@inha.edu	1084385157	20020127	F	90	CheongunRo,	GyeyangGu,
12210024	Choi	Soojin	IBT	Ejqk	Eunji	soojin77@inha.edu	1	020955847	20010414	0				
12210025	Takahashi	Mei	KLC	Fkrl	Daehyun	mei12@inha.edu	1	022551623	20041126	0				
12210026	Choi	Soojin	IBT	Glsm	Eunji	soojin93@inha.edu	1	069169418	19960909	0				
12210027	Choi	Soojin	IBT	Hmtn	Eunji	soojin12@inha.edu	1	068378212	19990325	0				
12210028	Aibek	Temir	KLC	Inuo	Daehyun	temir23@inha.edu	1	057351289	19960821	0				
12210029	Ruslan	Bakyt	KLC	Jovp	Daehyun	bakyt45@inha.edu	1	027041188	19970803	0				
12210030	Islom	ISE	Serrao	Suxwkyl	Loy	Rozario	i	slom88@inha.edu	1024822426	20031028	M	38	CheongunRo,	SeoGu,
12210031	Kang	Seoyeon	IBT	Ejqk	Eunji	seoyeon31@inha.edu	1	048582978	19980703	0				
12210032	Sarvar	ISE	Serrao	Qsvuiwj	Loy	Rozario	s	arvar53@inha.edu	1063898153	19990612	M	89	GeumgangRo,	BupyeongGu,
12210033	Lee	Jisoo	IBT	Choi	Eunji	jisoo38@inha.edu	1	055379312	19990809	0				
12210034	Choi	Soojin	IBT	Dipj	Eunji	soojin31@inha.edu	1	054018580	20000307	0				
12210035	Min	Win	KLC	Ejqk	Daehyun	win61@inha.edu	1	046933879	19950813	0				
12210036	Thuzar	Hnin	KLC	Fkrl	Daehyun	hnin54@inha.edu	1	087183121	19970710	0				
12210037	Aizada	Nurlan	KLC	Glsm	Daehyun	nurlan73@inha.edu	1	093735486	19991016	0				
12210038	Choi	Soojin	IBT	Hmtn	Eunji	soojin2@inha.edu	1	097307290	19961014	0				
12210039	Kim	Minho	IBT	Inuo	Eunji	minho67@inha.edu	1	018181975	19960115	0				
12210040	Jung	Donghyun	IBT	Glsm	Eunji	donghyun29@inha.edu	1	091022302	19980109	0				
12210041	Kang	Seoyeon	IBT	Fkrl	Eunji	seoyeon58@inha.edu	1	019367478	20010607	0				
12210042	Choi	Soojin	IBT	Ejqk	Eunji	soojin21@inha.edu	1	023503354	19971014	0				
12210043	Park	Hyunjin	IBT	Dipj	Eunji	hyunjin45@inha.edu	1	061177811	20010206	0				
12210044	Jahongir	ISE	Serrao	Pruthvi	Loy	Rozario	j	ahongir79@inha.edu	1058435349	20041120	M	12	OndangRo,	BupyeongGu,
12210045	Kim	Minho	IBT	Dipj	Eunji	minho76@inha.edu	1	075597396	20000819	0				
12210046	Gulnoza	ISE	Serrao	Rtwvjxk	Loy	Rozario	g	ulnoza13@inha.edu	1059132751	20010110	F	60	MyeongdongRo,	NamdongGu,
12210047	Ziyoda	ISE	Serrao	Suxwkyl	Loy	Rozario	z	iyoda14@inha.edu	1063947044	19950213	F	80	GeumgangRo,	YeonsuGu,
12210048	Sarvar	ISE	Vivek	Oyqev	sarvar84@inha.edu	1020285396	2	0020626	0	0				
12210049	Ziyoda	ISE	Vivek	Pzrfw	ziyoda31@inha.edu	1092015667	1	9970210	0	0				
12210050	Azizbek	ISE	Vivek	Pzrfw	azizbek80@inha.edu	1016104752	2	0041127	0	0				
12210051	Sarvar	ISE	Vivek	Oyqev	sarvar84@inha.edu	1054016622	1	9980406	0	0				
12210052	Madina	ISE	Vivek	Nxpdu	madina21@inha.edu	1026136164	2	0030514	0	0				
12210053	Kang	Seoyeon	IBT	Ejqk	Eunji	seoyeon22@inha.edu	1	098517188	19950717	0				
12210054	Shohjahon	ISE	Vivek	Lvnbs	shohjahon36@inha.edu	1019642987	1	9971007	0	0				
12210055	Thuzar	Hnin	KLC	Choi	Daehyun	hnin50@inha.edu	1	015877608	19960326	0				
12210056	Min	Win	KLC	Dipj	Daehyun	win80@inha.edu	1	022329461	20030714	0				
12210057	Islom	ISE	Vivek	Mwoct	islom71@inha.edu	1025741087	2	0030916	0	0				
12210058	Jung	Donghyun	IBT	Fkrl	Eunji	donghyun70@inha.edu	1	014775658	19950407	0				
12210059	Kim	Minho	IBT	Glsm	Eunji	minho79@inha.edu	1	060276787	20040526	0				
12210060	Kang	Seoyeon	IBT	Inuo	Eunji	seoyeon41@inha.edu	1	096798580	19991204	0				
12210061	Lee	Jisoo	IBT	Hmtn	Eunji	jisoo87@inha.edu	1	074252425	20051009	0				
12210062	Jung	Donghyun	IBT	Glsm	Eunji	donghyun99@inha.edu	1	096915623	20050106	0				
12210063	Azizbek	ISE	Vivek	Nxpdu	azizbek39@inha.edu	1089794219	2	0031127	0	0				
12210064	Park	Hyunjin	IBT	Ejqk	Eunji	hyunjin56@inha.edu	1	064906307	20031216	0				
12210065	Islom	ISE	Vivek	Lvnbs	islom71@inha.edu	1036498237	2	0020520	0	0				
12210066	Azizbek	ISE	Vivek	Kumar	azizbek94@inha.edu	1026453295	2	0040610	0	0				
12210067	Jahongir	ISE	Vivek	Lvnbs	jahongir55@inha.edu	1035253142	2	0050515	0	0				
12210068	Park	Hyunjin	IBT	Mcpi	Daehyun	hyunjin81@inha.edu	1	014443081	20021015	0				
