Student ID,Name,Faculty,Advisor's Name,Email,Phone Number,Date of Birth,Gender,Address,Semesters,GPA,Scholarship Status / Tuition Fees,Clubs Attending
12210042,Azizbek,ISE,Choi Minseo,azizbek17@inha.edu,010-4514-1027,1999-06-27,M,"52 Jungang-Ro, Seo-Gu, Incheon 120635",8,2.96,Full Tuition Fee,Rock Climbing
12210043,Jung Donghyun,IBT,Park Jimin,donghyun24@inha.edu,010-9578-9666,2004-04-09,M,"44 Jungang-Ro, Namdong-Gu, Incheon 120014",8,2.88,25%,Drama Club
12210044,Aung Kyaw,KLC,Jung Hoseok,kyaw28@inha.edu,010-2838-6898,2004-08-22,M,"6 Cheongun-Ro, Bupyeong-Gu, Incheon 122700",8,2.81,Full Tuition Fee,Music Society
12210045,Kang Seoyeon,IBT,Kang Daehyun,seoyeon44@inha.edu,010-6232-6391,1997-09-16,F,"26 Myeongdong-Ro, Seo-Gu, Incheon 127004",8,2.16,25%,Game Programming
12210046,Gulnoza,ISE,Lee Hana,gulnoza65@inha.edu,010-3555-4141,1998-01-03,F,"91 Geumgang-Ro, Gyeyang-Gu, Incheon 122503",8,2.78,Full Tuition Fee,Skating
12210047,Jung Donghyun,IBT,Kang Daehyun,donghyun93@inha.edu,010-5681-5824,2000-04-17,M,"44 Ondang-Ro, Gyeyang-Gu, Incheon 120852",8,4.1,Full Tuition Fee,Dance Club
12210048,Madina,ISE,Choi Minseo,madina80@inha.edu,010-8136-5222,1998-02-13,F,"53 Jungang-Ro, Namdong-Gu, Incheon 129828",8,3.74,100%,Kayaking
12210049,Min Win,KLC,Jung Eunji,win63@inha.edu,010-2404-6871,1999-03-08,M,"64 Cheongun-Ro, Yeonsu-Gu, Incheon 128068",8,4.39,50%,Music Society
12210050,Malika,ISE,Jung Hoseok,malika80@inha.edu,010-9501-5429,1995-11-22,F,"80 Jungang-Ro, Gyeyang-Gu, Incheon 125372",8,2.44,Full Tuition Fee,Game Programming
12210051,Kang Seoyeon,IBT,Park Jimin,seoyeon77@inha.edu,010-4250-7950,2001-06-18,F,"22 Cheongun-Ro, Bupyeong-Gu, Incheon 123722",8,3.32,50%,Drama Club
12210052,Aung Kyaw,KLC,Lee Hana,kyaw87@inha.edu,010-3610-2923,2000-04-16,M,"75 Cheongun-Ro, Seo-Gu, Incheon 124204",8,4.5,25%,Kayaking
12210053,Dilnoza,ISE,Choi Minseo,dilnoza71@inha.edu,010-7698-5141,1997-11-26,F,"81 Ondang-Ro, Yeonsu-Gu, Incheon 128162",8,2.49,Full Tuition Fee,Dance Club
12210054,Jahongir,ISE,Kim Seokjin,jahongir85@inha.edu,010-5525-6782,1999-11-26,M,"44 Jungang-Ro, Yeonsu-Gu, Incheon 127318",8,3.4,Full Tuition Fee,Game Programming
12210055,Kim Minho,IBT,Lee Hana,minho38@inha.edu,010-5605-2669,2001-03-13,M,"13 Cheongun-Ro, Gyeyang-Gu, Incheon 124384",8,2.62,Full Tuition Fee,Debate Team
12210056,Dilnoza,ISE,Park Jimin,dilnoza8@inha.edu,010-6339-3381,1996-08-23,F,"5 Jungang-Ro, Yeonsu-Gu, Incheon 122586",8,4.27,Full Tuition Fee,Game Programming
12210057,Yamada Taro,KLC,Choi Minseo,taro53@inha.edu,010-4256-3397,2004-07-22,M,"34 Cheongun-Ro, Bupyeong-Gu, Incheon 120183",8,2.99,Full Tuition Fee,0
12210058,Ziyoda,ISE,Choi Minseo,ziyoda87@inha.edu,010-6878-2162,1998-07-13,F,"24 Myeongdong-Ro, Yeonsu-Gu, Incheon 120586",8,2.22,Full Tuition Fee,0
12210059,Lee Jisoo,IBT,Lee Hana,jisoo89@inha.edu,010-8168-4792,1996-12-07,F,"40 Cheongun-Ro, Seo-Gu, Incheon 120826",8,2.06,100%,Game Programming
12210060,Yamada Taro,KLC,Kang Daehyun,taro59@inha.edu,010-4295-7691,2001-11-23,M,"59 Geumgang-Ro, Namdong-Gu, Incheon 127355",8,3.37,25%,Music Society
12210061,Shohjahon,ISE,Lee Hana,shohjahon33@inha.edu,010-7448-9314,1995-12-09,M,"27 Myeongdong-Ro, Seo-Gu, Incheon 120060",8,3.88,Full Tuition Fee,Dance Club
12210062,Thuzar Hnin,KLC,Kim Seokjin,hnin11@inha.edu,010-4837-9015,1996-09-28,F,"49 Ondang-Ro, Bupyeong-Gu, Incheon 123719",8,4.42,Full Tuition Fee,Skating
12210063,Shohjahon,ISE,Park Jimin,shohjahon33@inha.edu,010-5480-6566,2004-03-17,M,"4 Jungang-Ro, Namdong-Gu, Incheon 122374",8,4.39,50%,Rock Climbing
12210064,Lee Jisoo,IBT,Jung Hoseok,jisoo29@inha.edu,010-5913-3800,2003-04-25,F,"30 Cheongun-Ro, Gyeyang-Gu, Incheon 122711",8,3.41,25%,0
12210065,Park Hyunjin,IBT,Jung Hoseok,hyunjin22@inha.edu,010-2555-1149,1999-12-02,M,"92 Geumgang-Ro, Yeonsu-Gu, Incheon 129245",8,3.02,Full Tuition Fee,Dance Club
12210066,Jahongir,ISE,Jung Eunji,jahongir72@inha.edu,010-8186-6403,2004-05-05,M,"56 Ondang-Ro, Bupyeong-Gu, Incheon 129473",8,3.81,100%,Game Programming
12210067,Jung Donghyun,IBT,Jung Eunji,donghyun75@inha.edu,010-5516-1410,2005-04-13,M,"60 Myeongdong-Ro, Seo-Gu, Incheon 128107",8,3.17,Full Tuition Fee,Dance Club
12210068,Islom,ISE,Jung Hoseok,islom47@inha.edu,010-1222-8330,2005-11-03,M,"73 Cheongun-Ro, Seo-Gu, Incheon 123832",8,2.56,Full Tuition Fee,Rock Climbing
12210069,Meerim Zhumagul,KLC,Jung Eunji,zhumagul10@inha.edu,010-1137-4948,1995-02-24,F,"68 Myeongdong-Ro, Yeonsu-Gu, Incheon 127545",8,2.78,50%,Kayaking
12210070,Park Hyunjin,IBT,Kang Daehyun,hyunjin50@inha.edu,010-1048-3847,2001-07-11,M,"32 Cheongun-Ro, Gyeyang-Gu, Incheon 128262",8,3.63,Full Tuition Fee,Drama Club
12210071,Shohjahon,ISE,Kang Daehyun,shohjahon94@inha.edu,010-7994-2818,2001-10-09,M,"31 Jungang-Ro, Namdong-Gu, Incheon 125083",8,3.58,100%,Kayaking
12210072,Dilnoza,ISE,Park Jimin,dilnoza56@inha.edu,010-6813-9609,2001-02-01,F,"12 Ondang-Ro, Gyeyang-Gu, Incheon 129582",8,4.39,25%,Rock Climbing
12210073,Aizada Nurlan,KLC,Kang Daehyun,nurlan18@inha.edu,010-8768-2187,2002-12-06,F,"69 Cheongun-Ro, Yeonsu-Gu, Incheon 127432",8,4.37,50%,Dance Club
12210074,Jung Donghyun,IBT,Choi Minseo,donghyun78@inha.edu,010-3645-2096,2005-06-26,M,"77 Jungang-Ro, Namdong-Gu, Incheon 123418",8,2.46,25%,Debate Team
12210075,Jung Donghyun,IBT,Park Jimin,donghyun48@inha.edu,010-1068-1112,1997-03-27,M,"24 Geumgang-Ro, Seo-Gu, Incheon 126051",8,3.09,Full Tuition Fee,Drama Club
12210076,Shohjahon,ISE,Kim Seokjin,shohjahon37@inha.edu,010-8382-7222,2003-07-22,M,"40 Ondang-Ro, Gyeyang-Gu, Incheon 122967",8,3.85,25%,Kayaking
12210077,Kim Minho,IBT,Kang Daehyun,minho12@inha.edu,010-3058-6493,2000-11-26,M,"2 Cheongun-Ro, Bupyeong-Gu, Incheon 127999",8,3.84,25%,0
12210078,Kim Minho,IBT,Choi Minseo,minho4@inha.edu,010-9131-8837,1998-06-12,M,"71 Jungang-Ro, Seo-Gu, Incheon 121216",8,3.28,100%,0
12210079,Ziyoda,ISE,Kang Daehyun,ziyoda7@inha.edu,010-6840-6300,2005-10-05,F,"72 Geumgang-Ro, Yeonsu-Gu, Incheon 126925",8,3.89,Full Tuition Fee,Drama Club
12210080,Jung Donghyun,IBT,Jung Hoseok,donghyun23@inha.edu,010-7370-6592,2000-07-16,M,"94 Cheongun-Ro, Seo-Gu, Incheon 124912",8,2.94,50%,Skating
12210081,Kim Minho,IBT,Jung Hoseok,minho35@inha.edu,010-6392-3396,2002-11-22,M,"85 Jungang-Ro, Yeonsu-Gu, Incheon 120769",8,3.55,Full Tuition Fee,Dance Club
12210082,Kang Seoyeon,IBT,Kang Daehyun,seoyeon87@inha.edu,010-2973-8899,1998-12-19,F,"76 Jungang-Ro, Namdong-Gu, Incheon 125633",8,3.29,25%,0
12210083,Kang Seoyeon,IBT,Choi Minseo,seoyeon95@inha.edu,010-8833-3865,2001-07-21,F,"56 Ondang-Ro, Gyeyang-Gu, Incheon 127430",8,3.52,100%,0
12210084,Kang Seoyeon,IBT,Jung Eunji,seoyeon45@inha.edu,010-1148-8678,2000-06-18,F,"36 Geumgang-Ro, Yeonsu-Gu, Incheon 127216",8,3.76,Full Tuition Fee,Kayaking
12210085,Azizbek,ISE,Jung Eunji,azizbek90@inha.edu,010-7135-1661,1996-02-12,M,"63 Myeongdong-Ro, Namdong-Gu, Incheon 123127",8,4.25,Full Tuition Fee,Drama Club
12210086,Lee Jisoo,IBT,Jung Hoseok,jisoo37@inha.edu,010-4391-7447,2002-06-23,F,"37 Ondang-Ro, Yeonsu-Gu, Incheon 121748",8,2.8,Full Tuition Fee,Debate Team
12210087,Kim Minho,IBT,Jung Hoseok,minho60@inha.edu,010-8370-2728,1996-05-24,M,"71 Geumgang-Ro, Bupyeong-Gu, Incheon 127536",8,4.49,Full Tuition Fee,Kayaking
12210088,Madina,ISE,Kang Daehyun,madina67@inha.edu,010-6156-5307,2004-10-14,F,"72 Jungang-Ro, Gyeyang-Gu, Incheon 122258",8,3.87,25%,Game Programming
12210089,Gulnoza,ISE,Park Jimin,gulnoza16@inha.edu,010-5122-3039,1998-09-03,F,"17 Myeongdong-Ro, Yeonsu-Gu, Incheon 122995",8,2.8,Full Tuition Fee,Rock Climbing
12210090,Park Hyunjin,IBT,Kim Seokjin,hyunjin96@inha.edu,010-6116-5650,1995-12-02,M,"68 Myeongdong-Ro, Bupyeong-Gu, Incheon 126890",8,4.15,Full Tuition Fee,Music Society
12210091,Azizbek,ISE,Lee Hana,azizbek52@inha.edu,010-6774-4733,2003-04-20,M,"24 Jungang-Ro, Seo-Gu, Incheon 125152",8,2.04,Full Tuition Fee,Rock Climbing
12210092,Jahongir,ISE,Jung Hoseok,jahongir94@inha.edu,010-9093-5544,1999-12-17,M,"58 Cheongun-Ro, Gyeyang-Gu, Incheon 122095",8,3.48,Full Tuition Fee,Debate Team
12210093,Aibek Temir,KLC,Lee Hana,temir17@inha.edu,010-9079-5551,2003-08-08,M,"45 Myeongdong-Ro, Namdong-Gu, Incheon 126779",8,2.64,100%,Game Programming
12210094,Kang Seoyeon,IBT,Kang Daehyun,seoyeon54@inha.edu,010-4792-5121,2001-10-09,F,"38 Jungang-Ro, Gyeyang-Gu, Incheon 124256",8,4.12,Full Tuition Fee,Game Programming
12210095,Sarvar,ISE,Kang Daehyun,sarvar17@inha.edu,010-4383-4362,2005-10-20,M,"33 Cheongun-Ro, Gyeyang-Gu, Incheon 126420",8,3.52,50%,Rock Climbing
12210096,Gulnoza,ISE,Jung Hoseok,gulnoza90@inha.edu,010-4232-9865,2004-05-21,F,"72 Jungang-Ro, Yeonsu-Gu, Incheon 121947",8,2.82,100%,0
12210097,Jung Donghyun,IBT,Park Jimin,donghyun56@inha.edu,010-5910-6779,1995-07-04,M,"29 Jungang-Ro, Seo-Gu, Incheon 121889",8,2.46,Full Tuition Fee,Kayaking
12210098,Adi Putri,KLC,Park Jimin,putri60@inha.edu,010-8396-5556,2000-07-02,F,"75 Myeongdong-Ro, Gyeyang-Gu, Incheon 122974",8,2.25,Full Tuition Fee,Drama Club
12210099,Azizbek,ISE,Kim Seokjin,azizbek88@inha.edu,010-6461-6552,1999-03-12,M,"31 Jungang-Ro, Bupyeong-Gu, Incheon 128906",8,4.06,Full Tuition Fee,Dance Club
12210100,Dilnoza,ISE,Jung Eunji,dilnoza73@inha.edu,010-3752-1940,2002-07-26,F,"54 Cheongun-Ro, Namdong-Gu, Incheon 124851",8,4.32,100%,Debate Team
12210101,Dilnoza,ISE,Kim Seokjin,dilnoza79@inha.edu,010-7942-6517,2000-09-28,F,"55 Cheongun-Ro, Yeonsu-Gu, Incheon 121675",8,2.27,25%,Drama Club
12210102,Jung Donghyun,IBT,Lee Hana,donghyun39@inha.edu,010-7229-5861,2005-05-20,M,"23 Myeongdong-Ro, Namdong-Gu, Incheon 121036",8,2.54,Full Tuition Fee,Kayaking
12210103,Kim Minho,IBT,Kim Seokjin,minho30@inha.edu,010-7983-4417,2000-04-06,M,"28 Myeongdong-Ro, Gyeyang-Gu, Incheon 129736",8,4.05,Full Tuition Fee,Game Programming
12210104,Dilnoza,ISE,Lee Hana,dilnoza49@inha.edu,010-9401-2223,2005-08-15,F,"43 Cheongun-Ro, Yeonsu-Gu, Incheon 127101",8,3.59,50%,0
12210105,Ziyoda,ISE,Lee Hana,ziyoda13@inha.edu,010-3165-5664,1998-11-09,F,"24 Myeongdong-Ro, Bupyeong-Gu, Incheon 122105",8,3.05,Full Tuition Fee,0
12210106,Shohjahon,ISE,Lee Hana,shohjahon79@inha.edu,010-8370-4778,1996-03-27,M,"2 Ondang-Ro, Gyeyang-Gu, Incheon 129866",8,4.21,50%,Debate Team
