Student ID,Name,Faculty,Advisor's Name,Email,Phone Number,Date of Birth,Gender,Address,Semesters,Scholarship Status / Tuition Fees,Clubs Attending,Password,Nationality
12200021,Takahashi Mei,KLC,Choi Minseo,mei98@inha.edu,1015673557,19960816,F,"7 MyeongdongRo, NamdongGu, Incheon 127152",9,0,Game Programming,a:xkfCZcUL,Germany
12200022,Sarvar,ISE,Kang Daehyun,sarvar87@inha.edu,1071963784,20000210,M,"99 GeumgangRo, YeonsuGu, Incheon 123179",9,25,Debate Team,7^?^^@^_!},Australia
12200023,Jung Donghyun,IBT,Jung Hoseok,donghyun46@inha.edu,1049659230,20020616,M,"90 CheongunRo, SeoGu, Incheon 122585",9,0,Dance Club,Sb}QUpMJF],India
12200024,Malika,ISE,Jung Hoseok,malika41@inha.edu,1049714171,20010128,F,"59 GeumgangRo, BupyeongGu, Incheon 126154",9,0,Debate Team,z;{q$'uomj,United States
12200025,Choi Soojin,IBT,Kim Seokjin,soojin1@inha.edu,1013024265,19961006,F,"18 GeumgangRo, SeoGu, Incheon 125253",9,0,Music Society,7gp/4>Cu\Y,United States
12200026,Aibek Temir,KLC,Park Jimin,temir62@inha.edu,1061607376,20021106,M,"76 OndangRo, GyeyangGu, Incheon 128710",9,0,Game Programming,qJj1*nn{H=,Brazil
12200027,Gulnoza,ISE,Lee Hana,gulnoza2@inha.edu,1020184169,20040622,F,"69 OndangRo, YeonsuGu, Incheon 125149",9,25,Music Society,RfiOJzCw+,United States
12200028,Jung Donghyun,IBT,Jung Eunji,donghyun62@inha.edu,1060859279,20050809,M,"97 OndangRo, YeonsuGu, Incheon 125627",9,25,Game Programming,"0nRJ""m77Fa",Brazil
12200029,Sarvar,ISE,Choi Minseo,sarvar17@inha.edu,1056844974,20000616,M,"98 JungangRo, NamdongGu, Incheon 122043",9,50,Rock Climbing,!mFA=%Vvh>,Germany
12210000,Gulnoza,ISE,Choi Minseo,gulnoza64@inha.edu,1071952506,20010210,F,"48 MyeongdongRo, NamdongGu, Incheon 122281",8,0,Debate Team,QFaLu0XZ+%,Australia
12210001,Kang Seoyeon,IBT,Jung Eunji,seoyeon12@inha.edu,1034868534,20021020,F,"84 MyeongdongRo, SeoGu, Incheon 120234",8,0,Rock Climbing,Pls5s$#xi[,South Korea
12210002,Islom,ISE,Kim Seokjin,islom46@inha.edu,1048007292,20020325,M,"60 JungangRo, YeonsuGu, Incheon 125033",8,25,Rock Climbing,i`'(n~As(l,Brazil
12210003,Kobayashi Riku,KLC,Jung Eunji,riku21@inha.edu,1014013372,20050713,M,"22 JungangRo, YeonsuGu, Incheon 120166",8,100,0,":d"")Z!1?Tj",Brazil
12210004,Park Hyunjin,IBT,Choi Minseo,hyunjin35@inha.edu,1034849507,19981002,M,"90 MyeongdongRo, BupyeongGu, Incheon 125704",8,50,0,t%1B:!}c$P,South Korea
12210005,Kang Seoyeon,IBT,Park Jimin,seoyeon42@inha.edu,1036986815,19980310,F,"57 OndangRo, YeonsuGu, Incheon 121414",8,25,Music Society,/}H*tJ*p\\,South Korea
12210006,Aizada Nurlan,KLC,Choi Minseo,nurlan13@inha.edu,1027649447,20000827,F,"86 GeumgangRo, SeoGu, Incheon 122141",8,0,Music Society,Qy9Yap=M'I,Brazil
12210007,Gulnoza,ISE,Lee Hana,gulnoza55@inha.edu,1044386596,19950209,F,"30 JungangRo, SeoGu, Incheon 127752",8,100,Dance Club,J2f$:V`!)U,Brazil
12210008,Dilnoza,ISE,Kang Daehyun,dilnoza11@inha.edu,1072512204,20050901,F,"99 JungangRo, BupyeongGu, Incheon 126957",8,0,0,R}Osz{x9(.,Germany
12210009,Park Hyunjin,IBT,Park Jimin,hyunjin25@inha.edu,1012447493,20040406,M,"87 JungangRo, YeonsuGu, Incheon 121879",8,0,Drama Club,2Nb$Gd4fB,South Korea
12210010,Sarvar,ISE,Park Jimin,sarvar37@inha.edu,1063567293,19960917,M,"24 JungangRo, NamdongGu, Incheon 127178",8,25,0,"5{*m""~|K>^",India
12210011,Dilnoza,ISE,Choi Minseo,dilnoza23@inha.edu,1049438254,20030420,F,"17 CheongunRo, GyeyangGu, Incheon 120183",8,100,0,"`o}!""\quuP",Brazil
12210012,Tanaka Haruka,KLC,Jung Eunji,haruka76@inha.edu,1051658318,20040120,F,"96 MyeongdongRo, NamdongGu, Incheon 128373",8,0,Drama Club,1`c_UcF*pT,United States
12210013,Dilnoza,ISE,Jung Eunji,dilnoza92@inha.edu,1087486713,20010609,F,"35 GeumgangRo, YeonsuGu, Incheon 122625",8,100,Skating,@+J[A{MsI%,India
12210014,Kang Seoyeon,IBT,Kim Seokjin,seoyeon22@inha.edu,1068586782,20051221,F,"64 CheongunRo, NamdongGu, Incheon 126970",8,0,Music Society,b}>M$b~Q.e,South Korea
12210015,Jahongir,ISE,Park Jimin,jahongir14@inha.edu,1094183024,20050217,M,"70 GeumgangRo, BupyeongGu, Incheon 124561",8,50,Game Programming,+x'0Y:omQ$,Uzbekistan
12210016,Park Hyunjin,IBT,Jung Hoseok,hyunjin59@inha.edu,1035068056,20051225,M,"21 GeumgangRo, SeoGu, Incheon 129450",8,25,Skating,Ek<Jo!T[/5,South Korea
12210017,Meerim Zhumagul,KLC,Choi Minseo,zhumagul92@inha.edu,1038051026,19950419,F,"37 CheongunRo, SeoGu, Incheon 120602",8,25,Game Programming,Z(w|zZ:r1I,United States
12210018,Jung Donghyun,IBT,Lee Hana,donghyun72@inha.edu,1093147708,19951220,M,"39 MyeongdongRo, SeoGu, Incheon 127159",8,50,Music Society,#]73b.%(]},Germany
12210019,Shohjahon,ISE,Jung Eunji,shohjahon92@inha.edu,1097535576,20040606,M,"18 JungangRo, NamdongGu, Incheon 125233",8,0,Rock Climbing,E_f'zwfFU=,Australia
12210020,Lee Jisoo,IBT,Kim Seokjin,jisoo98@inha.edu,1053854932,20050809,F,"12 GeumgangRo, YeonsuGu, Incheon 127085",8,0,Music Society,bwt(lDp#NY,South Korea
12210021,Park Hyunjin,IBT,Park Jimin,hyunjin39@inha.edu,1050825640,19990721,M,"83 CheongunRo, GyeyangGu, Incheon 126117",8,100,0,"!f@xotbI,'",South Korea
12210022,Gulnoza,ISE,Lee Hana,gulnoza44@inha.edu,1017851642,20040623,F,"60 JungangRo, NamdongGu, Incheon 129299",8,50,Skating,Y$H`ys%Ya:,United States
12210023,Malika,ISE,Park Jimin,malika5@inha.edu,1083832198,20001119,F,"32 OndangRo, YeonsuGu, Incheon 128461",8,50,Kayaking,N84vKrlTHp,Brazil
12210024,Gulnoza,ISE,Jung Eunji,gulnoza51@inha.edu,1087068442,20030422,F,"75 GeumgangRo, GyeyangGu, Incheon 129870",8,0,0,dT~kZB)xHP,India
12210025,Gulnoza,ISE,Lee Hana,gulnoza7@inha.edu,1024448607,19970722,F,"1 CheongunRo, SeoGu, Incheon 120039",8,0,Rock Climbing,j.PdsM.)\h,Brazil
12210026,Kobayashi Riku,KLC,Choi Minseo,riku39@inha.edu,1067848979,20050310,M,"68 OndangRo, GyeyangGu, Incheon 123017",8,0,Dance Club,Um?!Dlk*b',United States
12210027,Choi Soojin,IBT,Jung Hoseok,soojin53@inha.edu,1059348303,19971107,F,"12 OndangRo, SeoGu, Incheon 124534",8,25,Drama Club,"n]5""[:$sg`",United States
12210028,Islom,ISE,Kang Daehyun,islom54@inha.edu,1069174759,20020718,M,"14 MyeongdongRo, NamdongGu, Incheon 126407",8,50,0,X&Z^;HN85N,India
12210029,Min Win,KLC,Choi Minseo,win46@inha.edu,1091499390,20050828,M,"48 JungangRo, SeoGu, Incheon 125017",8,0,Game Programming,CfdbR@R>kO,India
12210030,Park Hyunjin,IBT,Kang Daehyun,hyunjin11@inha.edu,1054561122,19960511,M,"66 GeumgangRo, NamdongGu, Incheon 125160",8,0,Rock Climbing,lzcCvTJFRB,South Korea
12210031,Gulnoza,ISE,Lee Hana,gulnoza67@inha.edu,1037605444,20000815,F,"51 MyeongdongRo, NamdongGu, Incheon 122174",8,0,Skating,84I_tF)A4b,Germany
12210032,Madina,ISE,Kang Daehyun,madina15@inha.edu,1048871595,19950304,F,"98 MyeongdongRo, NamdongGu, Incheon 127268",8,100,Game Programming,pIFz?.D\|y,Uzbekistan
12210033,Shohjahon,ISE,Jung Hoseok,shohjahon25@inha.edu,1050996476,20040918,M,"24 MyeongdongRo, BupyeongGu, Incheon 120548",8,50,0,"+(YsBv""n?{",India
12210034,Jahongir,ISE,Park Jimin,jahongir19@inha.edu,1086674617,20010327,M,"8 CheongunRo, YeonsuGu, Incheon 121479",8,0,Debate Team,MhS:Dk*)Vf,Uzbekistan
12210035,Park Hyunjin,IBT,Jung Eunji,hyunjin17@inha.edu,1090654706,19980107,M,"14 GeumgangRo, GyeyangGu, Incheon 123369",8,0,Music Society,8O+3>WVdh7,South Korea
12210036,Azizbek,ISE,Jung Eunji,azizbek33@inha.edu,1099544499,20011010,M,"50 CheongunRo, YeonsuGu, Incheon 124596",8,25,Drama Club,:G+Zjm6M5[,Germany
12210037,Dilnoza,ISE,Lee Hana,dilnoza94@inha.edu,1017016929,20000418,F,"67 JungangRo, SeoGu, Incheon 120944",8,0,Kayaking,Lj~CH7fkSR,Australia
12210038,Jahongir,ISE,Park Jimin,jahongir46@inha.edu,1021786085,20000605,M,"39 MyeongdongRo, SeoGu, Incheon 129107",8,0,Dance Club,tOa+k2mVtX,Uzbekistan
12210039,Malika,ISE,Park Jimin,malika86@inha.edu,1065547144,19960317,F,"55 OndangRo, SeoGu, Incheon 128721",8,50,Kayaking,"qEi4,/6U,e",India
12210040,Ziyoda,ISE,Kim Seokjin,ziyoda63@inha.edu,1071606504,19991113,F,"19 JungangRo, NamdongGu, Incheon 125158",8,50,Game Programming,"Q2BAnun,vR",India
12210041,Azizbek,ISE,Lee Hana,azizbek44@inha.edu,1083777685,20011101,M,"17 OndangRo, GyeyangGu, Incheon 125280",8,0,Kayaking,)ye\{#UQCP,United States
12210042,Azizbek,ISE,Choi Minseo,azizbek17@inha.edu,1045141027,19990627,M,"52 JungangRo, SeoGu, Incheon 120635",8,0,Rock Climbing,"{fA}""tE9<}",India
12210043,Jung Donghyun,IBT,Park Jimin,donghyun24@inha.edu,1095789666,20040409,M,"44 JungangRo, NamdongGu, Incheon 120014",8,25,Drama Club,"u""X,M{ybVh",United States
12210044,Aung Kyaw,KLC,Jung Hoseok,kyaw28@inha.edu,1028386898,20040822,M,"6 CheongunRo, BupyeongGu, Incheon 122700",8,0,Music Society,h>0~PCQ'r',Australia
12210045,Kang Seoyeon,IBT,Kang Daehyun,seoyeon44@inha.edu,1062326391,19970916,F,"26 MyeongdongRo, SeoGu, Incheon 127004",8,25,Game Programming,"h@]""FC?|f?",South Korea
12210046,Gulnoza,ISE,Lee Hana,gulnoza65@inha.edu,1035554141,19980103,F,"91 GeumgangRo, GyeyangGu, Incheon 122503",8,0,Skating,k(Q=F$L%(v,Germany
12210047,Jung Donghyun,IBT,Kang Daehyun,donghyun93@inha.edu,1056815824,20000417,M,"44 OndangRo, GyeyangGu, Incheon 120852",8,0,Dance Club,z@o_f.XhE},Brazil
12210048,Madina,ISE,Choi Minseo,madina80@inha.edu,1081365222,19980213,F,"53 JungangRo, NamdongGu, Incheon 129828",8,100,Kayaking,WJ<E8^uAly,Uzbekistan
12210049,Min Win,KLC,Jung Eunji,win63@inha.edu,1024046871,19990308,M,"64 CheongunRo, YeonsuGu, Incheon 128068",8,50,Music Society,*!Ip9R9D1N,India
12210050,Malika,ISE,Jung Hoseok,malika80@inha.edu,1095015429,19951122,F,"80 JungangRo, GyeyangGu, Incheon 125372",8,0,Game Programming,1P9]zTL*9D,Brazil
12210051,Kang Seoyeon,IBT,Park Jimin,seoyeon77@inha.edu,1042507950,20010618,F,"22 CheongunRo, BupyeongGu, Incheon 123722",8,50,Drama Club,N3tCl(_i[^,South Korea
12210052,Aung Kyaw,KLC,Lee Hana,kyaw87@inha.edu,1036102923,20000416,M,"75 CheongunRo, SeoGu, Incheon 124204",8,25,Kayaking,C2n~4Kh=qc,Germany
12210053,Dilnoza,ISE,Choi Minseo,dilnoza71@inha.edu,1076985141,19971126,F,"81 OndangRo, YeonsuGu, Incheon 128162",8,0,Dance Club,r[H4t~Qa_o,Germany
12210054,Jahongir,ISE,Kim Seokjin,jahongir85@inha.edu,1055256782,19991126,M,"44 JungangRo, YeonsuGu, Incheon 127318",8,0,Game Programming,|:e1xU;ffa,Uzbekistan
12210055,Kim Minho,IBT,Lee Hana,minho38@inha.edu,1056052669,20010313,M,"13 CheongunRo, GyeyangGu, Incheon 124384",8,0,Debate Team,L|{Y%ox#Tj,South Korea
12210056,Dilnoza,ISE,Park Jimin,dilnoza8@inha.edu,1063393381,19960823,F,"5 JungangRo, YeonsuGu, Incheon 122586",8,0,Game Programming,2@&S3+WiC.,Germany
12210057,Yamada Taro,KLC,Choi Minseo,taro53@inha.edu,1042563397,20040722,M,"34 CheongunRo, BupyeongGu, Incheon 120183",8,0,0,]NrG[P!iz+,United States
12210058,Ziyoda,ISE,Choi Minseo,ziyoda87@inha.edu,1068782162,19980713,F,"24 MyeongdongRo, YeonsuGu, Incheon 120586",8,0,0,y2+B)DFvHj,Germany
12210059,Lee Jisoo,IBT,Lee Hana,jisoo89@inha.edu,1081684792,19961207,F,"40 CheongunRo, SeoGu, Incheon 120826",8,100,Game Programming,8`]P>`A'eJ,South Korea
12210060,Yamada Taro,KLC,Kang Daehyun,taro59@inha.edu,1042957691,20011123,M,"59 GeumgangRo, NamdongGu, Incheon 127355",8,25,Music Society,c_nr{MRl_d,India
12210061,Shohjahon,ISE,Lee Hana,shohjahon33@inha.edu,1074489314,19951209,M,"27 MyeongdongRo, SeoGu, Incheon 120060",8,0,Dance Club,to`wo:wOQ7,India
12210062,Thuzar Hnin,KLC,Kim Seokjin,hnin11@inha.edu,1048379015,19960928,F,"49 OndangRo, BupyeongGu, Incheon 123719",8,0,Skating,oOA;~vL!1X,Germany
12210063,Shohjahon,ISE,Park Jimin,shohjahon33@inha.edu,1054806566,20040317,M,"4 JungangRo, NamdongGu, Incheon 122374",8,50,Rock Climbing,"E5n,lp#Ci+",India
12210064,Lee Jisoo,IBT,Jung Hoseok,jisoo29@inha.edu,1059133800,20030425,F,"30 CheongunRo, GyeyangGu, Incheon 122711",8,25,0,t(Z}C=F}u(,South Korea
12210065,Park Hyunjin,IBT,Jung Hoseok,hyunjin22@inha.edu,1025551149,19991202,M,"92 GeumgangRo, YeonsuGu, Incheon 129245",8,0,Dance Club,3A`G:\ab&B,South Korea
12210066,Jahongir,ISE,Jung Eunji,jahongir72@inha.edu,1081866403,20040505,M,"56 OndangRo, BupyeongGu, Incheon 129473",8,100,Game Programming,2ueZzxsi5n,Uzbekistan
12210067,Jung Donghyun,IBT,Jung Eunji,donghyun75@inha.edu,1055161410,20050413,M,"60 MyeongdongRo, SeoGu, Incheon 128107",8,0,Dance Club,v<D>$U>F|p,Australia
12210068,Islom,ISE,Jung Hoseok,islom47@inha.edu,1012228330,20051103,M,"73 CheongunRo, SeoGu, Incheon 123832",8,0,Rock Climbing,CFvLpzw/v@,Brazil
12210069,Meerim Zhumagul,KLC,Jung Eunji,zhumagul10@inha.edu,1011374948,19950224,F,"68 MyeongdongRo, YeonsuGu, Incheon 127545",8,50,Kayaking,V^88h0g[]<,Australia
12210070,Park Hyunjin,IBT,Kang Daehyun,hyunjin50@inha.edu,1010483847,20010711,M,"32 CheongunRo, GyeyangGu, Incheon 128262",8,0,Drama Club,"[Q"".tz,v*Y",South Korea
12210071,Shohjahon,ISE,Kang Daehyun,shohjahon94@inha.edu,1079942818,20011009,M,"31 JungangRo, NamdongGu, Incheon 125083",8,100,Kayaking,zTCCl&H(~^,Australia
12210072,Dilnoza,ISE,Park Jimin,dilnoza56@inha.edu,1068139609,20010201,F,"12 OndangRo, GyeyangGu, Incheon 129582",8,25,Rock Climbing,a;KU*M`7nO,Brazil
12210073,Aizada Nurlan,KLC,Kang Daehyun,nurlan18@inha.edu,1087682187,20021206,F,"69 CheongunRo, YeonsuGu, Incheon 127432",8,50,Dance Club,"0gk|hupC""G",India
12210074,Jung Donghyun,IBT,Choi Minseo,donghyun78@inha.edu,1036452096,20050626,M,"77 JungangRo, NamdongGu, Incheon 123418",8,25,Debate Team,/`J\b`b:ne,Germany
12210075,Jung Donghyun,IBT,Park Jimin,donghyun48@inha.edu,1010681112,19970327,M,"24 GeumgangRo, SeoGu, Incheon 126051",8,0,Drama Club,""":l{l91]UM",Australia
12210076,Shohjahon,ISE,Kim Seokjin,shohjahon37@inha.edu,1083827222,20030722,M,"40 OndangRo, GyeyangGu, Incheon 122967",8,25,Kayaking,m='&vHDhPn,Germany
12210077,Kim Minho,IBT,Kang Daehyun,minho12@inha.edu,1030586493,20001126,M,"2 CheongunRo, BupyeongGu, Incheon 127999",8,25,0,@p>z2S#UkC,South Korea
12210078,Kim Minho,IBT,Choi Minseo,minho4@inha.edu,1091318837,19980612,M,"71 JungangRo, SeoGu, Incheon 121216",8,100,0,d$lP`5!8w,South Korea
12210079,Ziyoda,ISE,Kang Daehyun,ziyoda7@inha.edu,1068406300,20051005,F,"72 GeumgangRo, YeonsuGu, Incheon 126925",8,0,Drama Club,"xu>aur1""kC",India
12210080,Jung Donghyun,IBT,Jung Hoseok,donghyun23@inha.edu,1073706592,20000716,M,"94 CheongunRo, SeoGu, Incheon 124912",8,50,Skating,ZdSm>'#3hq,India
12210081,Kim Minho,IBT,Jung Hoseok,minho35@inha.edu,1063923396,20021122,M,"85 JungangRo, YeonsuGu, Incheon 120769",8,0,Dance Club,=@$>2HgwV,South Korea
12210082,Kang Seoyeon,IBT,Kang Daehyun,seoyeon87@inha.edu,1029738899,19981219,F,"76 JungangRo, NamdongGu, Incheon 125633",8,25,0,0uZ5n*H:f[,South Korea
12210083,Kang Seoyeon,IBT,Choi Minseo,seoyeon95@inha.edu,1088333865,20010721,F,"56 OndangRo, GyeyangGu, Incheon 127430",8,100,0,Jp!Ph@$z<N,South Korea
12210084,Kang Seoyeon,IBT,Jung Eunji,seoyeon45@inha.edu,1011488678,20000618,F,"36 GeumgangRo, YeonsuGu, Incheon 127216",8,0,Kayaking,"eHlgc>Yj""a",South Korea
12210085,Azizbek,ISE,Jung Eunji,azizbek90@inha.edu,1071351661,19960212,M,"63 MyeongdongRo, NamdongGu, Incheon 123127",8,0,Drama Club,up_U|9sWG.,United States
12210086,Lee Jisoo,IBT,Jung Hoseok,jisoo37@inha.edu,1043917447,20020623,F,"37 OndangRo, YeonsuGu, Incheon 121748",8,0,Debate Team,~<98atZnr9,South Korea
12210087,Kim Minho,IBT,Jung Hoseok,minho60@inha.edu,1083702728,19960524,M,"71 GeumgangRo, BupyeongGu, Incheon 127536",8,0,Kayaking,r6u5=jMgg^,South Korea
12210088,Madina,ISE,Kang Daehyun,madina67@inha.edu,1061565307,20041014,F,"72 JungangRo, GyeyangGu, Incheon 122258",8,25,Game Programming,"Md,19PoNSM",Uzbekistan
12210089,Gulnoza,ISE,Park Jimin,gulnoza16@inha.edu,1051223039,19980903,F,"17 MyeongdongRo, YeonsuGu, Incheon 122995",8,0,Rock Climbing,14]]bn?z$C,United States
12210090,Park Hyunjin,IBT,Kim Seokjin,hyunjin96@inha.edu,1061165650,19951202,M,"68 MyeongdongRo, BupyeongGu, Incheon 126890",8,0,Music Society,1vK^kcGb((,South Korea
12210091,Azizbek,ISE,Lee Hana,azizbek52@inha.edu,1067744733,20030420,M,"24 JungangRo, SeoGu, Incheon 125152",8,0,Rock Climbing,LnK(6jj8QU,Brazil
12210092,Jahongir,ISE,Jung Hoseok,jahongir94@inha.edu,1090935544,19991217,M,"58 CheongunRo, GyeyangGu, Incheon 122095",8,0,Debate Team,1<Z5$R`g_&,Uzbekistan
12210093,Aibek Temir,KLC,Lee Hana,temir17@inha.edu,1090795551,20030808,M,"45 MyeongdongRo, NamdongGu, Incheon 126779",8,100,Game Programming,SD''tJQ=G5,India
12210094,Kang Seoyeon,IBT,Kang Daehyun,seoyeon54@inha.edu,1047925121,20011009,F,"38 JungangRo, GyeyangGu, Incheon 124256",8,0,Game Programming,+9wYCf9l7C,South Korea
12210095,Sarvar,ISE,Kang Daehyun,sarvar17@inha.edu,1043834362,20051020,M,"33 CheongunRo, GyeyangGu, Incheon 126420",8,50,Rock Climbing,JlYKeKht<,United States
12210096,Gulnoza,ISE,Jung Hoseok,gulnoza90@inha.edu,1042329865,20040521,F,"72 JungangRo, YeonsuGu, Incheon 121947",8,100,0,1tN)`Hxh|~,United States
12210097,Jung Donghyun,IBT,Park Jimin,donghyun56@inha.edu,1059106779,19950704,M,"29 JungangRo, SeoGu, Incheon 121889",8,0,Kayaking,MBZbbSRAqK,Australia
12210098,Adi Putri,KLC,Park Jimin,putri60@inha.edu,1083965556,20000702,F,"75 MyeongdongRo, GyeyangGu, Incheon 122974",8,0,Drama Club,"j""|NK#gr(j",Brazil
12210099,Azizbek,ISE,Kim Seokjin,azizbek88@inha.edu,1064616552,19990312,M,"31 JungangRo, BupyeongGu, Incheon 128906",8,0,Dance Club,y@Hv\9S1M},Germany
12210100,Dilnoza,ISE,Jung Eunji,dilnoza73@inha.edu,1037521940,20020726,F,"54 CheongunRo, NamdongGu, Incheon 124851",8,100,Debate Team,"JXv@7,!4+(",India
12210101,Dilnoza,ISE,Kim Seokjin,dilnoza79@inha.edu,1079426517,20000928,F,"55 CheongunRo, YeonsuGu, Incheon 121675",8,25,Drama Club,Vs:G/znxO2,Australia
12210102,Jung Donghyun,IBT,Lee Hana,donghyun39@inha.edu,1072295861,20050520,M,"23 MyeongdongRo, NamdongGu, Incheon 121036",8,0,Kayaking,vmA@X2kY2(,Germany
12210103,Kim Minho,IBT,Kim Seokjin,minho30@inha.edu,1079834417,20000406,M,"28 MyeongdongRo, GyeyangGu, Incheon 129736",8,0,Game Programming,Dv$o4;?%w3,South Korea
12210104,Dilnoza,ISE,Lee Hana,dilnoza49@inha.edu,1094012223,20050815,F,"43 CheongunRo, YeonsuGu, Incheon 127101",8,50,0,A]hlW#BAYW,Australia
12210105,Ziyoda,ISE,Lee Hana,ziyoda13@inha.edu,1031655664,19981109,F,"24 MyeongdongRo, BupyeongGu, Incheon 122105",8,0,0,e)57|_Jh7K,Australia
12210106,Shohjahon,ISE,Lee Hana,shohjahon79@inha.edu,1083704778,19960327,M,"2 OndangRo, GyeyangGu, Incheon 129866",8,50,Debate Team,"4;g""%E46ev",India
12210107,Kim Minho,IBT,Kim Seokjin,minho77@inha.edu,1085833404,19970520,M,"22 JungangRo, GyeyangGu, Incheon 120995",8,0,Rock Climbing,T2R9qD#sd/,South Korea
12210108,Aibek Temir,KLC,Jung Eunji,temir10@inha.edu,1082213787,20040403,M,"20 OndangRo, SeoGu, Incheon 128923",8,0,0,`gyrQ&ZB{6,India
12210109,Ziyoda,ISE,Jung Hoseok,ziyoda94@inha.edu,1072826048,20030413,F,"2 JungangRo, NamdongGu, Incheon 127168",8,0,Skating,L12?C[#>5b,India
12210110,Aibek Temir,KLC,Lee Hana,temir53@inha.edu,1043944299,19950703,M,"39 GeumgangRo, NamdongGu, Incheon 127307",8,100,Kayaking,BR_S[6c%iv,United States
12210111,Madina,ISE,Park Jimin,madina43@inha.edu,1016886202,19971112,F,"15 MyeongdongRo, SeoGu, Incheon 122626",8,0,Skating,b*Q^mGS|cG,Uzbekistan
12210112,Lee Jisoo,IBT,Choi Minseo,jisoo79@inha.edu,1013075056,19970807,F,"86 CheongunRo, YeonsuGu, Incheon 126269",8,0,Music Society,4zn{+[WBuS,South Korea
